City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Athens,GR,37.9795,23.7162,86.52,46,20,5.99,few clouds
306,Loiza,PR,18.4313,-65.8802,87.13,72,40,9.44,scattered clouds
307,Tautira,PF,-17.7333,-149.15,73.42,73,5,4.43,clear sky
308,Yar-Sale,RU,66.8333,70.8333,41.22,46,100,7.74,overcast clouds
309,Namibe,AO,-15.1961,12.1522,79.14,59,0,10.67,clear sky
310,Dakar,SN,14.6937,-17.4441,86.88,73,75,11.5,broken clouds
311,Scarborough,GB,54.2797,-0.4044,64.06,76,51,1.99,broken clouds
312,Sunrise Manor,US,36.2111,-115.0731,84.81,18,1,2.19,clear sky
313,Bagdarin,RU,54.4333,113.6,41.76,94,97,4.32,light rain
314,Vardo,NO,70.3705,31.1107,44.8,61,0,19.57,clear sky
315,Bodden Town,KY,19.2833,-81.25,86.0,33,20,15.05,few clouds
316,Karratha,AU,-20.7377,116.8463,76.19,70,100,4.32,light rain
317,Cayenne,GF,4.9333,-52.3333,80.1,87,75,1.01,broken clouds
318,Vanimo,PG,-2.6741,141.3028,79.21,86,100,5.06,overcast clouds
319,Sola,VU,-13.8833,167.55,76.14,70,100,9.82,overcast clouds
320,Pauini,BR,-7.7136,-66.9764,89.71,49,39,2.06,scattered clouds
321,Asau,RO,46.4333,26.4,74.39,81,100,2.21,light rain
322,Palmer,US,42.1584,-72.3287,74.66,53,20,3.0,few clouds
323,Balkanabat,TM,39.5108,54.3671,79.54,42,2,11.72,clear sky
324,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,71,40,36.82,scattered clouds
325,Nova Vcelnice,CZ,49.2393,15.0726,58.71,42,100,6.42,overcast clouds
326,Bang Saphan,TH,11.2126,99.5117,78.71,85,100,4.36,light rain
327,Naze,JP,28.3667,129.4833,68.0,92,100,7.92,light rain
328,Beruwala,LK,6.4788,79.9828,80.89,85,76,17.63,broken clouds
329,Qiongshan,CN,20.0058,110.3542,82.38,89,0,12.26,clear sky
330,Oktyabrskoye,RU,43.0645,44.7417,66.34,68,75,2.42,light rain
331,Upata,VE,8.0086,-62.3989,80.19,64,97,6.62,overcast clouds
332,Lianzhou,CN,24.7811,112.3825,76.69,94,95,0.87,overcast clouds
333,Mosquera,CO,4.7059,-74.2302,57.29,82,75,3.44,broken clouds
334,Thunder Bay,CA,48.4001,-89.3168,42.3,51,20,6.91,few clouds
335,Margate,GB,51.3813,1.3862,64.74,79,34,6.02,scattered clouds
336,Verkhnetulomskiy,RU,68.6073,31.7962,51.93,48,100,10.02,overcast clouds
337,Tucuma,BR,-0.1833,-50.05,83.25,77,98,1.45,overcast clouds
338,Killybegs,IE,54.6333,-8.45,58.71,89,100,11.54,light rain
339,Malangwa,NP,26.8568,85.5581,77.72,80,100,15.21,overcast clouds
340,Weligama,LK,5.9667,80.4167,79.81,87,99,17.67,overcast clouds
341,Anito,PH,12.4497,125.2886,81.03,89,16,6.08,few clouds
342,Panama City,PA,8.9936,-79.5197,88.05,76,40,3.44,scattered clouds
343,Byron Bay,AU,-28.65,153.6167,56.88,86,9,9.71,clear sky
344,Zhigansk,RU,66.7697,123.3711,52.11,60,77,15.52,broken clouds
345,Lasa,IT,46.6166,10.7002,65.28,89,93,7.36,overcast clouds
