City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Ponca City,US,75.9,broken clouds,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
402,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
411,Soyo,AO,84.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
412,West Odessa,US,78.84,scattered clouds,31.8424,-102.4988,Corporate Mobile Housing
413,Nyimba,ZM,74.88,clear sky,-14.5566,30.8149,Dali Dali Lodge
416,Gualaquiza,EC,72.32,broken clouds,-3.4,-78.55,Hotel Merceditas
418,Kupang,ID,79.03,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
419,Almaty,KZ,73.31,broken clouds,43.25,76.95,Holiday Inn Almaty
420,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
422,Dok Kham Tai,TH,80.38,broken clouds,19.1624,99.9934,VC Hotel Phayao
424,Manuk Mangkaw,PH,84.52,scattered clouds,4.8,119.85,
426,Lazaro Cardenas,MX,85.3,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
427,Ippy,CF,70.3,overcast clouds,6.2679,21.2247,
430,Duncan,US,79.05,overcast clouds,34.5023,-97.9578,Days Inn by Wyndham Duncan
432,Marsh Harbour,BS,77.11,few clouds,26.5412,-77.0636,Abaco Beach Resort
433,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
434,Porto Novo,BJ,89.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
435,Kota Belud,MY,80.46,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
437,Chabahar,IR,88.72,clear sky,25.2919,60.643,هتل گدروشیا
439,Cap Malheureux,MU,77.49,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
440,Wadi Maliz,TN,78.46,broken clouds,36.4681,8.5495,HOPITAL
443,Barcelos,PT,84.29,overcast clouds,41.5388,-8.6151,Hotel Do Terço
444,Uige,AO,89.62,few clouds,-7.6087,15.0613,Hotel Catraio
445,Espanola,US,73.63,scattered clouds,35.9911,-106.0806,Santa Claran Hotel
446,Benguela,AO,83.88,clear sky,-12.5763,13.4055,Hotel Praia Morena
448,Sabang,ID,85.21,overcast clouds,5.8933,95.3214,Hotel Citra
453,Bom Jesus Do Galho,BR,76.59,overcast clouds,-19.8289,-42.3161,HOTEL LOPES
459,Daru,PG,77.43,overcast clouds,-9.0763,143.2092,Daru Lodge
460,Toro,CO,74.08,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
461,Majene,ID,80.01,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
462,Mlonggo,ID,80.8,broken clouds,-6.5333,110.7,Asia Metal Art
464,San Patricio,US,83.07,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
466,Pangai,TO,77.09,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
467,Basco,PH,85.03,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
471,Port Blair,IN,82.6,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
473,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
476,Aurillac,FR,70.77,clear sky,44.9167,2.45,Hôtel Restaurant Campanile Aurillac
478,Talara,PE,70.56,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
479,Bartica,GY,77.32,light rain,6.4,-58.6167,Relax Inn Hotel
480,Bella Vista,US,77.99,few clouds,36.4295,-94.2316,The Inn at Bella Vista
482,Petatlan,MX,78.6,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
483,Gilbert,US,82.98,clear sky,33.3528,-111.789,Mercy Housing - Page Commons
484,Hobyo,SO,80.49,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
486,Matara,LK,79.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
489,Vaitape,PF,80.26,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
490,Ocean City,US,80.19,few clouds,39.2776,-74.5746,Biscayne Suites
492,Huarmey,PE,70.21,broken clouds,-10.0681,-78.1522,Hotel Miramar
497,Tabuk,PH,79.36,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
498,Wanning,CN,82.47,scattered clouds,18.8003,110.3967,Paradise Hotel
503,Amapa,BR,75.58,moderate rain,1.0,-52.0,
505,Saint George,US,78.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
508,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
509,Biak,ID,76.98,scattered clouds,-0.9131,122.8766,Penginapan Kim
512,Crossville,US,75.29,clear sky,35.949,-85.0269,Hampton Inn Crossville
513,Konya,TR,71.08,overcast clouds,38.1667,32.5,Bahcesaray Koyu Muhtarligi
514,Amahai,ID,78.03,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
515,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
516,Semey,KZ,79.02,light rain,50.4111,80.2275,Grand Hotel Semey
517,Priboj,BA,74.98,broken clouds,44.6028,18.9314,EKO-kamp Majevica
518,Westport,US,78.89,few clouds,41.1415,-73.3579,The Westport Inn
519,Telemaco Borba,BR,74.39,overcast clouds,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
521,Trat,TH,82.81,light rain,12.5,102.5,สวนหนิง-อัศ
522,Abha,SA,80.42,clear sky,18.2164,42.5053,Abha Hotel
523,Palaikastron,GR,71.13,clear sky,35.2,26.25,Marina Village
524,Camacupa,AO,76.01,clear sky,-12.0167,17.4833,
525,Kandrian,PG,77.74,light rain,-6.2167,149.55,Kandrian Station
528,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
531,Nantucket,US,75.31,scattered clouds,41.2835,-70.0995,Jared Coffin House
532,Baracoa,CU,80.28,broken clouds,20.3467,-74.4958,Hostal Rio Miel
533,Edelira,PY,74.5,scattered clouds,-26.75,-55.2667,Hospedaje Miguelito
534,Mitsamiouli,KM,78.4,clear sky,-11.3847,43.2844,Foyer ADM
536,The Valley,AI,85.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
537,Palmaner,IN,83.43,scattered clouds,13.2,78.75,NEW Vivekananda Lodge
538,Kirakira,SB,75.51,broken clouds,-10.4544,161.9205,SanBiz Lodge
540,Lucapa,AO,83.41,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
544,Sinnamary,GF,76.05,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
546,Pampa,US,75.18,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
547,Sao Jose Da Coroa Grande,BR,81.68,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
549,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
550,Goianapolis,BR,82.62,clear sky,-16.5106,-49.0239,Hotel Tomatão
551,Kamenka,RU,72.1,scattered clouds,51.3223,42.7678,
553,Banda Aceh,ID,82.42,overcast clouds,5.5577,95.3222,Sulthan Hotel International
555,Ellisras,ZA,73.83,clear sky,-23.6649,27.7443,Lapa le le guesthouse
556,Bay Saint Louis,US,82.47,clear sky,30.3088,-89.33,The Abode Guest House
557,Black River,JM,84.97,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
562,Moroni,KM,76.69,clear sky,-11.7022,43.2551,Hotel les Arcades
563,Nashville,US,77.43,broken clouds,36.1659,-86.7844,Sheraton Grand Nashville Downtown
564,Dir,PK,70.99,clear sky,35.2058,71.8756,Sindh Hotal Dir
567,Ambilobe,MG,75.79,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
571,Ixtapa,MX,72.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
572,Zheleznodorozhnyy,RU,70.02,broken clouds,55.7503,38.0042,Hotel Dali
573,Guayaramerin,BO,84.25,clear sky,-10.8368,-65.3614,Hostal Funf
583,Catumbela,AO,83.64,clear sky,-12.4314,13.5472,Hotel Do Kamgamba
584,Santa Isabel,BR,74.66,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
586,Zhicheng,CN,72.77,light rain,30.2956,111.5047,Wangjiang Building
588,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
589,Ode,NG,89.74,broken clouds,7.7899,5.7117,MORALAB HOTEL
592,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
593,Richards Bay,ZA,72.19,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
594,West Lafayette,US,72.41,clear sky,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
600,Vieux-Habitants,GP,85.57,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
601,Lolodorf,CM,79.09,moderate rain,3.2333,10.7333,Auberge La Decouverte
603,Kasane,BW,78.89,clear sky,-17.8167,25.15,The Old House
605,Maraa,BR,77.68,overcast clouds,-1.8333,-65.3667,
609,Kango,GA,82.62,moderate rain,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
613,Pekalongan,ID,77.02,few clouds,-6.8886,109.6753,Namira Syariah Hotel
616,Liku,ID,76.69,scattered clouds,-0.7275,119.8922,Kost Raisa & homestay
618,Lanxi,CN,73.85,light rain,29.2195,119.477,Shangri-La Hotel
620,Lyantonde,UG,72.27,light rain,-0.4031,31.1572,Pals Panache Splendors
622,Islahiye,TR,85.78,clear sky,37.025,36.6306,İslahiye Sabanci Teachers
624,Aksay,RU,79.02,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
626,Kaputa,ZM,74.68,clear sky,-8.4689,29.6619,Chelelwa Charlets
627,Lumberton,US,88.92,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
628,Sherghati,IN,76.62,very heavy rain,24.5667,84.7833,Birju_sang_kunti_bhaban
631,Catamarca,AR,81.59,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
632,Methoni,GR,85.86,clear sky,36.8197,21.7049,Methoni Beach Hotel
634,Mazatlan,MX,80.91,few clouds,23.2167,-106.4167,Hotel Club Playamar
635,Bac Lieu,VN,78.51,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
636,Sainte-Maxime,FR,79.72,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
637,Montague,US,76.01,clear sky,42.5356,-72.5351,Two Rivers Bed and Breakfast
638,Calvia,ES,76.41,broken clouds,39.5657,2.5062,Castell Son Claret
643,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
646,Songea,TZ,74.55,few clouds,-10.6833,35.65,mtakuja
647,Ko Samui,TH,82.45,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
648,Machiques,VE,87.06,broken clouds,10.0644,-72.545,hotel el markes
653,Gizo,SB,77.59,heavy intensity rain,-8.103,156.8419,Imagination Island
656,Novo Oriente,BR,89.22,clear sky,-5.5344,-40.7742,Golden Palace Hotel
658,Faya,SA,80.71,few clouds,18.3851,42.4509,مقبرة ال مجمل
659,Wasco,US,76.14,clear sky,35.5941,-119.34100000000001,Best Western Plus Wasco Inn & Suites
661,Paita,PE,70.36,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
666,Midland,US,80.47,broken clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
669,Umm Lajj,SA,89.58,overcast clouds,25.0213,37.2685,Moon light Furnished Units
671,Malanje,AO,82.78,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
672,Mantua,IT,81.09,few clouds,45.1667,10.7833,Hotel la Favorita
