City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Marilandia,BR,2021-05-22 17:07:07,-19.4128,-40.5417,89.47,37,85,5.26
194,Gamba,GA,2021-05-22 17:07:07,-2.65,10.0,78.37,82,96,6.98
195,Arraial Do Cabo,BR,2021-05-22 17:07:07,-22.9661,-42.0278,82.26,69,0,4.61
196,Broome,US,2021-05-22 17:07:07,42.2506,-75.833,82.56,54,1,5.99
197,Ostrovnoy,RU,2021-05-22 17:07:07,68.0531,39.5131,35.06,97,100,11.77
198,Sohagpur,IN,2021-05-22 17:07:08,22.7,78.2,89.58,30,46,4.5
199,Sioux Lookout,CA,2021-05-22 17:07:08,50.1001,-91.917,53.06,95,100,6.33
200,Guiratinga,BR,2021-05-22 17:07:08,-16.3494,-53.7583,86.43,46,98,5.93
201,Cayenne,GF,2021-05-22 17:07:08,4.9333,-52.3333,87.84,81,20,8.99
202,San Vicente,AR,2021-05-22 17:07:09,-26.6167,-54.1333,63.82,65,73,5.73
203,College,US,2021-05-22 17:07:09,64.8569,-147.8028,47.59,87,90,5.75
204,Altay,CN,2021-05-22 17:07:09,47.8667,88.1167,47.84,46,21,4.81
205,Nanyang,CN,2021-05-22 17:05:58,32.9947,112.5328,69.82,80,100,8.19
206,Ternate,ID,2021-05-22 17:07:09,0.8,127.4,80.1,81,100,4.38
207,Tual,ID,2021-05-22 17:07:10,-5.6667,132.75,80.65,82,100,11.45
208,Madras,IN,2021-05-22 17:03:12,13.0878,80.2785,84.96,85,75,1.01
209,Cidreira,BR,2021-05-22 17:07:10,-30.1811,-50.2056,70.32,75,64,12.86
210,Tabou,CI,2021-05-22 17:07:10,4.423,-7.3528,83.14,72,61,7.72
211,Sobolevo,RU,2021-05-22 17:07:10,54.4299,31.8996,58.68,78,42,12.15
212,Sines,PT,2021-05-22 17:07:10,37.9562,-8.8698,63.28,63,100,10.0
213,Tuatapere,NZ,2021-05-22 17:07:11,-46.1333,167.6833,41.83,91,3,4.32
214,Mar Del Plata,AR,2021-05-22 17:04:15,-38.0023,-57.5575,59.09,61,90,11.99
215,Kaitangata,NZ,2021-05-22 17:07:11,-46.2817,169.8464,45.93,85,0,4.14
216,Kenai,US,2021-05-22 17:07:11,60.5544,-151.2583,47.03,81,90,13.8
217,Anchorage,US,2021-05-22 17:07:11,61.2181,-149.9003,49.21,73,40,3.0
218,Olinda,BR,2021-05-22 17:07:12,-8.0089,-34.8553,82.13,62,40,10.74
219,Aasiaat,GL,2021-05-22 17:03:10,68.7098,-52.8699,28.47,70,100,4.63
220,Shchebetovka,UA,2021-05-22 17:07:12,44.9333,35.15,62.67,77,96,5.59
221,Ahuimanu,US,2021-05-22 17:07:12,21.4447,-157.8378,74.91,73,90,10.36
222,Sao Joao Da Barra,BR,2021-05-22 17:03:45,-21.6403,-41.0511,79.68,60,100,6.64
223,Ahipara,NZ,2021-05-22 17:07:12,-35.1667,173.1667,57.97,75,100,15.01
224,Xining,CN,2021-05-22 17:07:13,36.6167,101.7667,39.58,92,100,3.67
225,Batemans Bay,AU,2021-05-22 17:07:13,-35.7167,150.1833,47.91,88,3,4.34
226,Bambous Virieux,MU,2021-05-22 17:07:13,-20.3428,57.7575,70.21,70,39,17.16
